ParkingLotID,Timestamp,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP23,SP24,SP25,SP26,SP27,SP28,SP29,SP30,SP31,SP32,SP33,SP34,SP35,SP36,SP37,SP38,SP39,SP40,SP41,SP42,SP43
BRIGHTON_SKI,2026-04-06 13:13:31,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL11,2026-04-20 13:23:41,occupied,occupied,occupied,empty,empty,occupied,empty,occupied,occupied,occupied,occupied,occupied,occupied,empty,occupied,empty,empty,occupied,empty,empty,occupied,occupied,empty,occupied,occupied,occupied,empty,empty,occupied,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
